D,q_c,R_f,S1,S2,a_max,M_w,Class,CSR,q_c1N,I_c,S
6,2.6,3.3,103.5,116,0.5,6.4,1,0.23156,25.55661,2.07661,0.89224
13.7,12.9,3.5,215.2,267.2,0.5,6.4,0,0.2173,87.93638,1.5426,0.80539
13,6.6,5,181.5,253.5,0.5,6.4,0,0.25009,48.98979,1.78105,0.71598
14.1,6.8,4.9,173.5,274,0.5,6.4,0,0.27274,51.62489,1.75861,0.63321
13.1,7.5,4.5,171,254.5,0.5,6.4,0,0.26564,57.35393,1.71508,0.67191
9.5,19.4,2.9,149.3,185.3,0.5,6.4,0,0.24735,158.77124,1.30736,0.80572
6.5,5.1,0.4,66.2,121.2,0.13,7.3,1,0.13718,62.68176,2.03998,0.5462
8,3.3,1.5,76.5,149,0.13,7.3,1,0.14418,37.72969,1.98129,0.51342
6,3.9,1.7,56.8,111.8,0.13,7.3,1,0.14808,51.74763,1.83636,0.50805
12.7,6.2,0.6,118.5,235.5,0.13,7.3,0,0.13083,56.95509,1.97729,0.50318
3,1.4,1.3,35.9,55.9,0.13,7.3,1,0.11996,23.36581,2.19917,0.64222
4,2,2.8,56,76,0.8,6.6,1,0.49318,26.72612,2.06736,0.73684
4,4.9,2.5,56,76,0.8,6.6,1,0.49318,65.479,1.69594,0.73684
5,6.9,2.3,45,95,0.2,6.6,0,0.19028,102.85913,1.51493,0.47368
4.8,2.9,2.3,51.8,90.3,0.15,6.6,0,0.11803,40.29333,1.90814,0.57364
4.8,3.9,2.1,51.8,90.3,0.15,6.6,0,0.11803,54.18758,1.79287,0.57364
4.8,5.2,2,51.8,90.3,0.15,6.6,0,0.11803,72.2501,1.6787,0.57364
4.8,5.9,0.4,51.8,90.3,0.15,6.6,0,0.11803,81.97608,1.9478,0.57364
4.8,3.8,2.2,51.8,90.3,0.15,6.6,0,0.11803,52.79815,1.79883,0.57364
4.8,4.8,0.7,51.8,90.3,0.15,6.6,0,0.11803,66.6924,1.88885,0.57364
4.8,4.5,0.7,59.8,90.3,0.15,6.6,0,0.10224,58.19182,1.9404,0.66224
4.8,5.1,0.9,59.8,90.3,0.15,6.6,0,0.10224,65.95073,1.84234,0.66224
4.8,4.3,1,59.8,90.3,0.15,6.6,0,0.10224,55.60551,1.88927,0.66224
